% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.018	1	1	102	9	2	26	7708	26	7708	0
1.038	1	1	104	9	2	24	6882	24	6882	0
1.058	1	1	106	9	2	26	7708	26	7708	0
1.068	1	2	107	9	1	24	6882	24	6882	0
1.078	1	1	108	9	2	26	7708	26	7708	0
1.083	1	1	109	4	2	26	7708	26	7708	0
1.088	1	2	109	9	1	26	7708	26	7708	0
1.108	1	2	111	9	1	22	5861	22	5861	0
1.117	1	1	112	8	2	24	6882	24	6882	0
1.128	1	2	113	9	1	20	4904	20	4904	0
1.129	1	1	113	10	2	26	7708	26	7708	0
1.162	1	2	117	3	1	24	6882	24	6882	0
1.163	1	1	117	4	2	22	5861	22	5861	0
1.172	1	2	118	3	1	26	7708	26	7708	0
1.177	1	2	118	8	1	26	7708	26	7708	0
1.182	1	2	119	3	1	26	7708	26	7708	0
1.183	1	1	119	4	2	26	7708	26	7708	0
1.188	1	2	119	9	1	26	7708	26	7708	0
1.202	1	2	121	3	1	26	7708	26	7708	0
1.203	1	1	121	4	2	24	6882	24	6882	0
1.211	1	2	122	2	1	26	7708	26	7708	0
1.212	1	1	122	3	2	24	3182	24	3182	0
1.212	1	2	122	3	1	26	3662	26	3662	0
1.213	1	2	122	4	1	26	7708	26	7708	0
1.222	1	2	123	3	1	24	6882	24	6882	0
1.223	1	2	123	4	1	24	6882	24	6882	0
1.224	1	2	123	5	1	22	5861	22	5861	0
1.225	1	2	123	6	1	22	5861	22	5861	0
1.226	1	2	123	7	1	24	6882	24	6882	0
1.227	1	2	123	8	1	24	6882	24	6882	0
1.228	1	2	123	9	1	26	7708	26	7708	0
1.229	1	2	123	10	1	26	7708	26	7708	0
1.23	1	2	124	1	1	26	7708	26	7708	0
1.235	1	2	124	6	1	26	7708	26	7708	0
1.236	1	2	124	7	1	26	7708	26	7708	0
1.237	1	2	124	8	1	26	7708	26	7708	0
1.238	1	2	124	9	1	26	7708	26	7708	0
1.239	1	2	124	10	1	26	7708	26	7708	0
1.24	1	2	125	1	1	26	7708	26	7708	0
1.241	1	2	125	2	1	26	7708	26	7708	0
1.242	1	2	125	3	1	26	7708	26	7708	0
1.246	1	1	125	7	2	22	5861	22	5861	0
1.247	1	2	125	8	1	24	6882	24	6882	0
1.248	1	2	125	9	1	24	6882	24	6882	0
1.249	1	2	125	10	1	24	6882	24	6882	0
1.25	1	2	126	1	1	24	6882	24	6882	0
1.251	1	2	126	2	1	24	6882	24	6882	0
1.252	1	2	126	3	1	22	5861	22	5861	0
1.253	1	2	126	4	1	22	5861	22	5861	0
1.254	1	2	126	5	1	22	5861	22	5861	0
1.255	1	2	126	6	1	22	5861	22	5861	0
1.26	1	2	127	1	1	22	5861	22	5861	0
1.261	1	1	127	2	2	26	3662	26	3662	0
1.261	1	2	127	2	1	22	2769	22	2769	0
1.262	1	2	127	3	1	22	5861	22	5861	0
1.263	1	2	127	4	1	22	5861	22	5861	0
1.264	1	2	127	5	1	22	5861	22	5861	0
1.265	1	2	127	6	1	22	5861	22	5861	0
1.266	1	2	127	7	1	24	6882	24	6882	0
1.267	1	2	127	8	1	24	6882	24	6882	0
1.272	1	2	128	3	1	24	6882	24	6882	0
1.273	1	2	128	4	1	24	6882	24	6882	0
1.274	1	2	128	5	1	24	6882	24	6882	0
1.275	1	2	128	6	1	24	6882	24	6882	0
1.276	1	2	128	7	1	22	5861	22	5861	0
1.277	1	2	128	8	1	22	5861	22	5861	0
1.278	1	2	128	9	1	22	5861	22	5861	0
1.279	1	2	128	10	1	22	5861	22	5861	0
1.284	1	2	129	5	1	22	5861	22	5861	0
1.285	1	2	129	6	1	22	5861	22	5861	0
1.286	1	2	129	7	1	24	6882	24	6882	0
1.287	1	2	129	8	1	24	6882	24	6882	0
1.288	1	2	129	9	1	24	6882	24	6882	0
1.291	1	2	130	2	1	24	6882	24	6882	0
1.295	1	1	130	6	2	24	3182	24	3182	0
1.295	1	2	130	6	1	24	3182	24	3182	0
1.296	1	1	130	7	2	24	6882	24	6882	0
1.303	1	2	131	4	1	24	6882	24	6882	0
1.31	1	1	132	1	2	20	4904	20	4904	0
1.315	1	2	132	6	1	26	7708	26	7708	0
1.322	1	2	133	3	1	26	7708	26	7708	0
1.323	1	2	133	4	1	26	7708	26	7708	0
1.324	1	2	133	5	1	26	7708	26	7708	0
1.325	1	2	133	6	1	26	7708	26	7708	0
1.326	1	2	133	7	1	26	7708	26	7708	0
1.327	1	2	133	8	1	26	7708	26	7708	0
1.328	1	2	133	9	1	26	7708	26	7708	0
1.329	1	2	133	10	1	26	7708	26	7708	0
1.33	1	2	134	1	1	26	7708	26	7708	0
1.331	1	2	134	2	1	26	7708	26	7708	0
1.332	1	2	134	3	1	26	7708	26	7708	0
1.333	1	2	134	4	1	26	7708	26	7708	0
1.334	1	2	134	5	1	24	6882	24	6882	0
1.335	1	2	134	6	1	24	6882	24	6882	0
1.34	1	2	135	1	1	22	5861	22	5861	0
1.341	1	2	135	2	1	22	5861	22	5861	0
1.342	1	2	135	3	1	22	5861	22	5861	0
1.343	1	2	135	4	1	22	5861	22	5861	0
1.344	1	1	135	5	2	22	2769	22	2769	0
1.344	1	2	135	5	1	24	3182	24	3182	0
1.345	1	2	135	6	1	24	3182	24	3182	0
1.345	1	1	135	6	2	22	2769	22	2769	0
1.346	1	1	135	7	2	22	2769	22	2769	0
1.346	1	2	135	7	1	24	3182	24	3182	0
1.347	1	2	135	8	1	24	3182	24	3182	0
1.347	1	1	135	8	2	22	2769	22	2769	0
1.348	1	1	135	9	2	22	2769	22	2769	0
1.348	1	2	135	9	1	26	3662	26	3662	0
1.349	1	1	135	10	2	22	5861	22	5861	0
1.353	1	2	136	4	1	26	7708	26	7708	0
1.354	1	2	136	5	1	26	7708	26	7708	0
1.355	1	2	136	6	1	26	7708	26	7708	0
1.356	1	2	136	7	1	26	7708	26	7708	0
1.357	1	2	136	8	1	26	7708	26	7708	0
1.358	1	2	136	9	1	26	7708	26	7708	0
1.359	1	1	136	10	2	22	2769	22	2769	0
1.359	1	2	136	10	1	26	3662	26	3662	0
1.36	1	2	137	1	1	26	7708	26	7708	0
1.365	1	2	137	6	1	24	6882	24	6882	0
1.366	1	2	137	7	1	24	6882	24	6882	0
1.367	1	2	137	8	1	24	6882	24	6882	0
1.368	1	2	137	9	1	24	6882	24	6882	0
1.379	1	2	138	10	1	24	6882	24	6882	0
1.393	1	1	140	4	2	24	6882	24	6882	0
1.394	1	1	140	5	2	24	6882	24	6882	0
1.395	1	1	140	6	2	24	6882	24	6882	0
1.402	1	2	141	3	1	26	7708	26	7708	0
1.403	1	2	141	4	1	26	7708	26	7708	0
1.404	1	2	141	5	1	26	7708	26	7708	0
1.405	1	2	141	6	1	26	7708	26	7708	0
1.406	1	2	141	7	1	26	7708	26	7708	0
1.407	1	2	141	8	1	26	7708	26	7708	0
1.408	1	2	141	9	1	26	7708	26	7708	0
1.409	1	1	141	10	2	26	3662	26	3662	0
1.409	1	2	141	10	1	26	3662	26	3662	0
1.41	1	2	142	1	1	26	7708	26	7708	0
1.411	1	2	142	2	1	26	7708	26	7708	0
1.412	1	2	142	3	1	26	7708	26	7708	0
1.413	1	2	142	4	1	26	7708	26	7708	0
1.414	1	2	142	5	1	26	7708	26	7708	0
1.415	1	2	142	6	1	26	7708	26	7708	0
1.416	1	2	142	7	1	26	7708	26	7708	0
1.417	1	2	142	8	1	26	7708	26	7708	0
1.418	1	2	142	9	1	26	7708	26	7708	0
1.419	1	2	142	10	1	26	7708	26	7708	0
1.42	1	2	143	1	1	26	7708	26	7708	0
1.421	1	2	143	2	1	26	7708	26	7708	0
1.422	1	2	143	3	1	28	9422	28	9422	0
1.423	1	2	143	4	1	28	9422	28	9422	0
1.428	1	2	143	9	1	28	9422	28	9422	0
1.429	1	2	143	10	1	28	9422	28	9422	0
1.43	1	2	144	1	1	26	7708	26	7708	0
1.431	1	2	144	2	1	26	7708	26	7708	0
1.432	1	2	144	3	1	26	7708	26	7708	0
1.433	1	2	144	4	1	26	7708	26	7708	0
1.434	1	2	144	5	1	26	7708	26	7708	0
1.435	1	2	144	6	1	26	7708	26	7708	0
1.44	1	2	145	1	1	26	7708	26	7708	0
1.441	1	2	145	2	1	26	7708	26	7708	0
1.442	1	2	145	3	1	24	6882	24	6882	0
1.443	1	1	145	4	2	22	2769	22	2769	0
1.443	1	2	145	4	1	24	3182	24	3182	0
1.444	1	2	145	5	1	24	3182	24	3182	0
1.444	1	1	145	5	2	24	3182	24	3182	0
1.445	1	1	145	6	2	24	3182	24	3182	0
1.445	1	2	145	6	1	24	3182	24	3182	0
1.446	1	2	145	7	1	24	3182	24	3182	0
1.446	1	1	145	7	2	24	3182	24	3182	0
1.447	1	1	145	8	2	24	3182	24	3182	0
1.447	1	2	145	8	1	24	3182	24	3182	0
1.448	1	2	145	9	1	22	2769	22	2769	0
1.448	1	1	145	9	2	26	3662	26	3662	0
1.449	1	1	145	10	2	26	7708	26	7708	0
1.458	1	1	146	9	2	26	7708	26	7708	0
1.459	1	2	146	10	1	24	6882	24	6882	0
1.47	1	2	148	1	1	26	7708	26	7708	0
1.481	1	2	149	2	1	26	7708	26	7708	0
1.482	1	1	149	3	2	26	3662	26	3662	0
1.482	1	2	149	3	1	26	3662	26	3662	0
1.483	1	2	149	4	1	26	7708	26	7708	0
1.484	1	2	149	5	1	26	7708	26	7708	0
1.485	1	2	149	6	1	26	7708	26	7708	0
1.486	1	2	149	7	1	26	7708	26	7708	0
