% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	6.58578e-14	138.84	0
0.000214285	1	2	0	4.37177e-13	921.651	0
0.00121429	1	1	0	1.20273e-13	253.558	0
0.00121429	1	2	0	1.07849e-12	2273.65	0
0.00221428	1	1	0	1.25092e-13	263.716	0
0.00221428	1	2	0	1.07071e-12	2257.25	0
0.00321428	1	1	0	1.30744e-13	275.633	0
0.00321428	1	2	0	1.05925e-12	2233.1	0
0.00421428	1	1	0	1.37235e-13	289.316	0
0.00421428	1	2	0	1.04432e-12	2201.62	0
0.00521428	1	1	0	1.44471e-13	304.572	0
0.00521428	1	2	0	1.02588e-12	2162.75	0
0.00621428	1	1	0	1.52396e-13	321.28	0
0.00621428	1	2	0	1.00401e-12	2116.63	0
0.00721428	1	1	0	1.6104e-13	339.501	0
0.00721428	1	2	0	9.78547e-13	2062.96	0
0.00821428	1	1	0	1.70377e-13	359.187	0
0.00821428	1	2	0	9.499e-13	2002.56	0
0.00921428	1	1	0	1.80367e-13	380.246	0
0.00921428	1	2	0	9.18569e-13	1936.51	0
0.0102143	1	1	0	1.90941e-13	402.54	0
0.0102143	1	2	0	8.84864e-13	1865.46	0
0.0112143	1	1	0	2.01942e-13	425.731	0
0.0112143	1	2	0	8.4911e-13	1790.08	0
0.0122143	1	1	0	2.13401e-13	449.889	0
0.0122143	1	2	0	8.11625e-13	1711.06	0
0.0132143	1	1	0	2.25267e-13	474.905	0
0.0132143	1	2	0	7.72668e-13	1628.93	0
0.0142143	1	1	0	2.37464e-13	500.617	0
0.0142143	1	2	0	7.32975e-13	1545.25	0
0.0152143	1	1	0	2.49899e-13	526.833	0
0.0152143	1	2	0	6.93014e-13	1461	0
0.0162143	1	1	0	2.6234e-13	553.062	0
0.0162143	1	2	0	6.53268e-13	1377.21	0
0.0172143	1	1	0	2.74874e-13	579.486	0
0.0172143	1	2	0	6.1418e-13	1294.8	0
0.0182143	1	1	0	2.8748e-13	606.06	0
0.0182143	1	2	0	5.76011e-13	1214.34	0
0.0192143	1	1	0	3.00088e-13	632.641	0
0.0192143	1	2	0	5.3962e-13	1137.62	0
0.0202143	1	1	0	3.12603e-13	659.025	0
0.0202143	1	2	0	5.0554e-13	1065.77	0
0.0212143	1	1	2	3.24775e-13	684.685	0
0.0212143	1	2	1	4.74241e-13	999.787	0
0.0222143	1	1	2	3.36676e-13	709.776	0
0.0222143	1	2	1	4.4618e-13	940.63	0
0.0232143	1	1	2	3.48315e-13	734.313	0
0.0232143	1	2	1	4.2153e-13	888.662	0
0.0242143	1	1	2	3.59662e-13	758.234	0
0.0242143	1	2	1	4.00924e-13	845.222	0
0.0252143	1	1	2	3.70696e-13	781.495	0
0.0252143	1	2	1	3.84721e-13	811.062	0
0.0262143	1	1	2	3.81265e-13	803.777	0
0.0262143	1	2	1	3.73202e-13	786.779	0
0.0272143	1	1	2	3.91435e-13	825.217	0
0.0272143	1	2	1	3.66654e-13	772.975	0
0.0282143	1	1	2	4.01273e-13	845.959	0
0.0282143	1	2	1	3.65161e-13	769.828	0
0.0292143	1	1	2	4.10827e-13	866.1	0
0.0292143	1	2	1	3.68957e-13	777.83	0
0.0302143	1	1	2	4.2013e-13	885.712	0
0.0302143	1	2	1	3.78127e-13	797.163	0
0.0312143	1	1	2	4.29126e-13	904.677	0
0.0312143	1	2	1	3.92684e-13	827.851	0
0.0322143	1	1	2	4.37809e-13	922.983	0
0.0322143	1	2	1	4.12565e-13	869.763	0
0.0332143	1	1	2	4.46354e-13	940.996	0
0.0332143	1	2	1	4.37579e-13	922.498	0
0.0342143	1	1	2	4.54879e-13	958.97	0
0.0342143	1	2	1	4.67554e-13	985.691	0
0.0352143	1	1	2	4.63493e-13	977.129	0
0.0352143	1	2	1	5.02297e-13	1058.93	0
0.0362143	1	1	2	4.72221e-13	995.529	0
0.0362143	1	2	1	5.41525e-13	1141.64	0
0.0372143	1	1	2	4.81024e-13	1014.09	0
0.0372143	1	2	1	5.84883e-13	1233.04	0
0.0382143	1	1	2	4.901e-13	1033.22	0
0.0382143	1	2	1	6.31827e-13	1332.01	0
0.0392143	1	1	2	4.996e-13	1053.25	0
0.0392143	1	2	1	6.81916e-13	1437.61	0
0.0402143	1	1	2	5.09621e-13	1074.37	0
0.0402143	1	2	1	7.34747e-13	1548.98	0
0.0412143	1	1	2	5.20255e-13	1096.79	0
0.0412143	1	2	1	7.8979e-13	1665.02	0
0.0422143	1	1	2	5.31443e-13	1120.38	0
0.0422143	1	2	1	8.46487e-13	1784.55	0
0.0432143	1	1	2	5.43337e-13	1145.45	0
0.0432143	1	2	1	9.04028e-13	1905.86	0
0.0442143	1	1	2	5.56153e-13	1172.47	0
0.0442143	1	2	1	9.61772e-13	2027.59	0
0.0452143	1	1	2	5.69923e-13	1201.5	0
0.0452143	1	2	1	1.01934e-12	2148.96	0
0.0462143	1	1	2	5.84712e-13	1232.68	0
0.0462143	1	2	1	1.07616e-12	2268.75	0
0.0472143	1	1	2	6.00428e-13	1265.81	0
0.0472143	1	2	1	1.13157e-12	2385.56	0
0.0482143	1	1	2	6.17078e-13	1300.91	0
0.0482143	1	2	1	1.18468e-12	2497.52	0
0.0492143	1	1	2	6.34814e-13	1338.31	0
0.0492143	1	2	1	1.23477e-12	2603.12	0
0.0502143	1	1	2	6.53665e-13	1378.05	0
0.0502143	1	2	1	1.28163e-12	2701.92	0
0.0512143	1	1	2	6.73627e-13	1420.13	0
0.0512143	1	2	1	1.32487e-12	2793.08	0
0.0522143	1	1	2	6.94574e-13	1464.29	0
0.0522143	1	2	1	1.36402e-12	2875.61	0
0.0532143	1	1	2	7.16399e-13	1510.3	0
0.0532143	1	2	1	1.3984e-12	2948.08	0
0.0542143	1	1	2	7.39172e-13	1558.31	0
0.0542143	1	2	1	1.42754e-12	3009.52	0
0.0552143	1	1	2	7.62875e-13	1608.28	0
0.0552143	1	2	1	1.45132e-12	3059.65	0
0.0562143	1	1	2	7.87418e-13	1660.02	0
0.0562143	1	2	1	1.46966e-12	3098.32	0
0.0572143	1	1	2	8.12615e-13	1713.14	0
0.0572143	1	2	1	1.48241e-12	3125.19	0
0.0582143	1	1	2	8.38204e-13	1767.09	0
0.0582143	1	2	1	1.48932e-12	3139.76	0
0.0592143	1	1	2	8.6416e-13	1821.81	0
0.0592143	1	2	1	1.49004e-12	3141.28	0
0.0602143	1	1	2	8.90478e-13	1877.29	0
0.0602143	1	2	1	1.48485e-12	3130.33	0
0.0612143	1	1	2	9.16984e-13	1933.17	0
0.0612143	1	2	1	1.47411e-12	3107.7	0
0.0622143	1	1	2	9.4342e-13	1988.9	0
0.0622143	1	2	1	1.45812e-12	3073.99	0
0.0632143	1	1	2	9.69367e-13	2043.61	0
0.0632143	1	2	1	1.43704e-12	3029.54	0
0.0642143	1	1	2	9.94677e-13	2096.96	0
0.0642143	1	2	1	1.41073e-12	2974.07	0
0.0652143	1	1	2	1.01933e-12	2148.94	0
0.0652143	1	2	1	1.37951e-12	2908.27	0
0.0662143	1	1	2	1.04313e-12	2199.12	0
0.0662143	1	2	1	1.34424e-12	2833.9	0
0.0672143	1	1	2	1.06588e-12	2247.07	0
0.0672143	1	2	1	1.30534e-12	2751.9	0
0.0682143	1	1	2	1.08712e-12	2291.86	0
0.0682143	1	2	1	1.26333e-12	2663.33	0
0.0692143	1	1	2	1.1066e-12	2332.91	0
0.0692143	1	2	1	1.21849e-12	2568.81	0
0.0702143	1	1	2	1.12443e-12	2370.5	0
0.0702143	1	2	1	1.17115e-12	2469	0
0.0712143	1	1	2	1.14046e-12	2404.3	0
0.0712143	1	2	1	1.12243e-12	2366.29	0
0.0722143	1	1	2	1.15454e-12	2433.98	0
0.0722143	1	2	1	1.07281e-12	2261.68	0
0.0732143	1	1	2	1.1663e-12	2458.78	0
0.0732143	1	2	1	1.02284e-12	2156.35	0
0.0742143	1	1	2	1.1754e-12	2477.97	0
0.0742143	1	2	1	9.73019e-13	2051.3	0
0.0752143	1	1	2	1.18204e-12	2491.95	0
0.0752143	1	2	1	9.23721e-13	1947.38	0
0.0762143	1	1	2	1.18619e-12	2500.72	0
0.0762143	1	2	1	8.75743e-13	1846.23	0
0.0772143	1	1	2	1.18785e-12	2504.21	0
0.0772143	1	2	1	8.29673e-13	1749.1	0
0.0782143	1	1	2	1.18678e-12	2501.95	0
0.0782143	1	2	1	7.86032e-13	1657.1	0
0.0792143	1	1	2	1.18265e-12	2493.25	0
0.0792143	1	2	1	7.4525e-13	1571.13	0
0.0802143	1	1	2	1.1757e-12	2478.59	0
0.0802143	1	2	1	7.07654e-13	1491.87	0
0.0812143	1	1	2	1.16606e-12	2458.27	0
0.0812143	1	2	1	6.73709e-13	1420.3	0
0.0822143	1	1	2	1.15375e-12	2432.31	0
0.0822143	1	2	1	6.43808e-13	1357.27	0
0.0832143	1	1	2	1.13875e-12	2400.7	0
0.0832143	1	2	1	6.18206e-13	1303.29	0
0.0842143	1	1	2	1.12088e-12	2363.02	0
0.0842143	1	2	1	5.97072e-13	1258.74	0
0.0852143	1	1	2	1.10023e-12	2319.49	0
0.0852143	1	2	1	5.80454e-13	1223.71	0
0.0862143	1	1	2	1.07728e-12	2271.11	0
0.0862143	1	2	1	5.68501e-13	1198.51	0
0.0872143	1	1	2	1.05215e-12	2218.12	0
0.0872143	1	2	1	5.61237e-13	1183.19	0
0.0882143	1	1	2	1.02503e-12	2160.96	0
0.0882143	1	2	1	5.58588e-13	1177.61	0
0.0892143	1	1	2	9.95873e-13	2099.48	0
0.0892143	1	2	1	5.60439e-13	1181.51	0
0.0902143	1	1	2	9.64681e-13	2033.73	0
0.0902143	1	2	1	5.66452e-13	1194.19	0
0.0912143	1	1	2	9.32076e-13	1964.99	0
0.0912143	1	2	1	5.76518e-13	1215.41	0
0.0922143	1	1	2	8.98274e-13	1893.73	0
0.0922143	1	2	1	5.90328e-13	1244.52	0
0.0932143	1	1	2	8.63499e-13	1820.42	0
0.0932143	1	2	1	6.07551e-13	1280.83	0
0.0942143	1	1	2	8.27872e-13	1745.31	0
0.0942143	1	2	1	6.27788e-13	1323.49	0
0.0952143	1	1	2	7.91387e-13	1668.39	0
0.0952143	1	2	1	6.50341e-13	1371.04	0
0.0962143	1	1	2	7.54655e-13	1590.95	0
0.0962143	1	2	1	6.74892e-13	1422.8	0
0.0972143	1	1	2	7.17965e-13	1513.6	0
0.0972143	1	2	1	7.01012e-13	1477.86	0
0.0982143	1	1	2	6.81499e-13	1436.73	0
0.0982143	1	2	1	7.2819e-13	1535.16	0
0.0992143	1	1	2	6.45392e-13	1360.61	0
0.0992143	1	2	1	7.55903e-13	1593.58	0
0.100214	1	1	2	6.09705e-13	1285.37	0
0.100214	1	2	1	7.8336e-13	1651.47	0
0.101214	1	1	2	5.74811e-13	1211.81	0
0.101214	1	2	1	8.10124e-13	1707.89	0
0.102214	1	1	2	5.40989e-13	1140.51	0
0.102214	1	2	1	8.35889e-13	1762.21	0
0.103214	1	1	2	5.08401e-13	1071.8	0
0.103214	1	2	1	8.60086e-13	1813.22	0
0.104214	1	1	2	4.77132e-13	1005.88	0
0.104214	1	2	1	8.82263e-13	1859.97	0
0.105214	1	1	2	4.47235e-13	942.854	0
0.105214	1	2	1	9.01772e-13	1901.1	0
0.106214	1	1	2	4.18885e-13	883.088	0
0.106214	1	2	1	9.18066e-13	1935.45	0
0.107214	1	1	2	3.92257e-13	826.95	0
0.107214	1	2	1	9.31085e-13	1962.9	0
0.108214	1	1	2	3.67415e-13	774.58	0
0.108214	1	2	1	9.40591e-13	1982.94	0
0.109214	1	1	2	3.44386e-13	726.03	0
0.109214	1	2	1	9.46363e-13	1995.11	0
0.110214	1	1	2	3.23115e-13	681.186	0
0.110214	1	2	1	9.48229e-13	1999.04	0
0.111214	1	1	2	3.03671e-13	640.195	0
0.111214	1	2	1	9.45641e-13	1993.59	0
0.112214	1	1	2	2.86114e-13	603.18	0
0.112214	1	2	1	9.3895e-13	1979.48	0
0.113214	1	1	2	2.70437e-13	570.131	0
0.113214	1	2	1	9.28318e-13	1957.07	0
0.114214	1	1	2	2.56606e-13	540.974	0
0.114214	1	2	1	9.13782e-13	1926.42	0
0.115214	1	1	2	2.44461e-13	515.37	0
0.115214	1	2	1	8.955e-13	1887.88	0
0.116214	1	1	2	2.33943e-13	493.196	0
0.116214	1	2	1	8.73194e-13	1840.85	0
0.117214	1	1	2	2.25063e-13	474.474	0
0.117214	1	2	1	8.47558e-13	1786.81	0
0.118214	1	1	2	2.17737e-13	459.029	0
0.118214	1	2	1	8.19112e-13	1726.84	0
0.119214	1	1	2	2.11901e-13	446.727	0
0.119214	1	2	1	7.88233e-13	1661.74	0
0.120214	1	1	2	2.07392e-13	437.22	0
0.120214	1	2	1	7.55262e-13	1592.23	0
0.121214	1	1	2	2.04057e-13	430.19	0
0.121214	1	2	1	7.20387e-13	1518.71	0
0.122214	1	1	2	2.01914e-13	425.672	0
0.122214	1	2	1	6.84236e-13	1442.5	0
0.123214	1	1	2	2.0084e-13	423.407	0
0.123214	1	2	1	6.47456e-13	1364.96	0
0.124214	1	1	2	2.00727e-13	423.17	0
0.124214	1	2	1	6.1058e-13	1287.22	0
0.125214	1	1	2	2.01451e-13	424.696	0
0.125214	1	2	1	5.7414e-13	1210.39	0
0.126214	1	1	2	2.02829e-13	427.601	0
0.126214	1	2	1	5.38527e-13	1135.31	0
0.127214	1	1	2	2.04818e-13	431.795	0
0.127214	1	2	1	5.04319e-13	1063.2	0
0.128214	1	1	2	2.07385e-13	437.206	0
0.128214	1	2	1	4.72186e-13	995.454	0
0.129214	1	1	2	2.10428e-13	443.62	0
0.129214	1	2	1	4.42629e-13	933.145	0
0.130214	1	1	2	2.13919e-13	450.98	0
0.130214	1	2	1	4.1611e-13	877.237	0
0.131214	1	1	2	2.17672e-13	458.893	0
0.131214	1	2	1	3.93014e-13	828.545	0
0.132214	1	1	2	2.21561e-13	467.092	0
0.132214	1	2	1	3.73715e-13	787.86	0
0.133214	1	1	2	2.25625e-13	475.659	0
0.133214	1	2	1	3.58674e-13	756.15	0
0.134214	1	1	2	2.29804e-13	484.469	0
0.134214	1	2	1	3.48167e-13	734.002	0
0.135214	1	1	2	2.34047e-13	493.415	0
0.135214	1	2	1	3.42404e-13	721.85	0
0.136214	1	1	2	2.38275e-13	502.327	0
0.136214	1	2	1	3.41548e-13	720.046	0
0.137214	1	1	2	2.42321e-13	510.858	0
0.137214	1	2	1	3.45659e-13	728.713	0
0.138214	1	1	2	2.46355e-13	519.362	0
0.138214	1	2	1	3.54784e-13	747.95	0
0.139214	1	1	2	2.50379e-13	527.846	0
0.139214	1	2	1	3.68907e-13	777.725	0
0.140214	1	1	2	2.54299e-13	536.11	0
0.140214	1	2	1	3.8792e-13	817.807	0
0.141214	1	1	2	2.58076e-13	544.072	0
0.141214	1	2	1	4.11649e-13	867.833	0
0.142214	1	1	2	2.61503e-13	551.297	0
0.142214	1	2	1	4.39794e-13	927.166	0
0.143214	1	1	2	2.64747e-13	558.137	0
0.143214	1	2	1	4.72006e-13	995.076	0
0.144214	1	1	2	2.67804e-13	564.58	0
0.144214	1	2	1	5.07967e-13	1070.89	0
0.145214	1	1	2	2.70657e-13	570.594	0
0.145214	1	2	1	5.47307e-13	1153.82	0
0.146214	1	1	2	2.73269e-13	576.102	0
0.146214	1	2	1	5.89574e-13	1242.93	0
0.147214	1	1	2	2.75591e-13	580.997	0
0.147214	1	2	1	6.34184e-13	1336.98	0
0.148214	1	1	2	2.77611e-13	585.255	0
0.148214	1	2	1	6.80486e-13	1434.59	0
0.149214	1	1	2	2.79347e-13	588.915	0
0.149214	1	2	1	7.28025e-13	1534.81	0
0.150214	1	1	2	2.80776e-13	591.928	0
0.150214	1	2	1	7.76277e-13	1636.54	0
0.151214	1	1	2	2.81847e-13	594.186	0
0.151214	1	2	1	8.24665e-13	1738.55	0
0.152214	1	1	2	2.82442e-13	595.44	0
0.152214	1	2	1	8.72539e-13	1839.47	0
0.153214	1	1	2	2.8259e-13	595.753	0
0.153214	1	2	1	9.19097e-13	1937.63	0
0.154214	1	1	2	2.82357e-13	595.261	0
0.154214	1	2	1	9.63886e-13	2032.05	0
0.155214	1	1	2	2.8178e-13	594.045	0
0.155214	1	2	1	1.00653e-12	2121.95	0
0.156214	1	1	2	2.80814e-13	592.007	0
0.156214	1	2	1	1.04649e-12	2206.2	0
0.157214	1	1	2	2.79316e-13	588.849	0
0.157214	1	2	1	1.08322e-12	2283.64	0
0.158214	1	1	2	2.77301e-13	584.603	0
0.158214	1	2	1	1.116e-12	2352.73	0
0.159214	1	1	2	2.74885e-13	579.508	0
0.159214	1	2	1	1.1445e-12	2412.83	0
0.160214	1	1	2	2.72085e-13	573.607	0
0.160214	1	2	1	1.16874e-12	2463.92	0
0.161214	1	1	2	2.68953e-13	567.003	0
0.161214	1	2	1	1.18845e-12	2505.47	0
0.162214	1	1	2	2.65389e-13	559.488	0
0.162214	1	2	1	1.20338e-12	2536.95	0
0.163214	1	1	2	2.61449e-13	551.182	0
0.163214	1	2	1	1.21309e-12	2557.43	0
0.164214	1	1	2	2.57355e-13	542.552	0
0.164214	1	2	1	1.21743e-12	2566.57	0
0.165214	1	1	2	2.53098e-13	533.577	0
0.165214	1	2	1	1.21675e-12	2565.14	0
0.166214	1	1	2	2.48745e-13	524.401	0
0.166214	1	2	1	1.21111e-12	2553.24	0
0.167214	1	1	2	2.44286e-13	515	0
0.167214	1	2	1	1.20061e-12	2531.11	0
0.168214	1	1	2	2.39786e-13	505.513	0
0.168214	1	2	1	1.18517e-12	2498.55	0
0.169214	1	1	2	2.35477e-13	496.43	0
0.169214	1	2	1	1.16495e-12	2455.94	0
0.170214	1	1	2	2.31495e-13	488.035	0
0.170214	1	2	1	1.14056e-12	2404.51	0
0.171214	1	1	2	2.27956e-13	480.573	0
0.171214	1	2	1	1.11239e-12	2345.13	0
0.172214	1	1	2	2.24955e-13	474.246	0
0.172214	1	2	1	1.08083e-12	2278.58	0
0.173214	1	1	2	2.22567e-13	469.212	0
0.173214	1	2	1	1.04605e-12	2205.27	0
0.174214	1	1	2	2.21008e-13	465.925	0
0.174214	1	2	1	1.00839e-12	2125.87	0
0.175214	1	1	2	2.2046e-13	464.77	0
0.175214	1	2	1	9.68549e-13	2041.88	0
0.176214	1	1	2	2.21069e-13	466.054	0
0.176214	1	2	1	9.27128e-13	1954.56	0
0.177214	1	1	2	2.22952e-13	470.024	0
0.177214	1	2	1	8.84657e-13	1865.02	0
0.178214	1	1	2	2.26207e-13	476.886	0
0.178214	1	2	1	8.41529e-13	1774.1	0
0.179214	1	1	2	2.30977e-13	486.941	0
0.179214	1	2	1	7.98099e-13	1682.54	0
0.180214	1	1	2	2.37432e-13	500.55	0
