% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
1082	1	1	2	0	6	645	0	1	1	0
1127	1	2	1	0	2	277	0	1	1	0
1128	1	1	2	0	2	573	0	1	1	0
1176	1	2	1	0	2	573	0	1	1	0
1186	1	2	1	0	2	277	0	1	1	0
1187	1	2	1	0	2	277	0	1	1	0
1211	1	2	1	0	2	277	0	1	1	0
1211	1	1	2	0	14	1620	0	1	1	0
1260	1	1	2	0	8	871	0	1	1	0
1287	1	2	1	0	0	349	0	1	1	0
1288	1	2	1	0	0	349	0	1	1	0
1289	1	2	1	0	0	349	0	1	1	0
1290	1	2	1	0	0	349	0	1	1	0
1291	1	2	1	0	0	349	0	1	1	0
1292	1	2	1	0	0	349	0	1	1	0
1301	1	2	1	0	0	349	0	1	1	0
1302	1	2	1	0	0	349	0	1	1	0
1309	1	2	1	0	0	173	0	1	0	0
1309	1	1	2	0	12	1239	0	1	1	0
1358	1	1	2	0	14	1620	0	1	1	0
1367	1	2	1	0	0	349	0	1	1	0
1368	1	2	1	0	0	349	0	1	1	0
1369	1	2	1	0	0	349	0	1	1	0
1370	1	2	1	0	0	349	0	1	1	0
1371	1	2	1	0	0	349	0	1	1	0
1372	1	2	1	0	0	349	0	1	1	0
1373	1	2	1	0	0	349	0	1	1	0
1374	1	2	1	0	0	349	0	1	1	0
1375	1	2	1	0	0	349	0	1	1	0
1376	1	2	1	0	0	349	0	1	1	0
1377	1	2	1	0	0	349	0	1	1	0
1378	1	2	1	0	0	349	0	1	1	0
1379	1	2	1	0	0	349	0	1	1	0
1380	1	2	1	0	0	349	0	1	1	0
1406	1	2	1	0	0	349	0	1	1	0
1407	1	2	1	0	2	277	0	1	1	0
1408	1	2	1	0	2	277	0	1	0	0
1408	1	1	2	0	4	453	0	1	1	0
1447	1	2	1	0	0	349	0	1	1	0
1448	1	2	1	0	0	349	0	1	1	0
1449	1	2	1	0	0	349	0	1	1	0
1450	1	2	1	0	0	349	0	1	1	0
1451	1	2	1	0	0	349	0	1	1	0
1452	1	2	1	0	0	349	0	1	1	0
1453	1	2	1	0	0	349	0	1	1	0
1454	1	2	1	0	0	349	0	1	1	0
1455	1	2	1	0	0	349	0	1	1	0
