% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1082	1	1	2	0	6	645	0	1	0
1127	1	2	1	0	2	277	0	1	0
1128	1	1	2	0	2	573	0	1	0
1131	1	1	2	0	2	573	0	1	0
1176	1	2	1	0	2	573	0	1	0
1177	1	2	1	0	2	277	0	1	0
1178	1	2	1	0	2	277	0	1	0
1186	1	2	1	0	2	277	0	1	0
1187	1	2	1	0	2	277	0	1	0
1188	1	2	1	0	2	277	0	1	0
1211	1	1	2	0	14	1620	0	1	0
1211	1	2	1	0	2	277	0	1	0
1217	1	1	2	0	14	1620	0	1	0
1217	1	2	1	0	2	277	0	1	0
1260	1	1	2	0	8	871	0	1	0
1287	1	2	1	0	0	349	0	1	0
1288	1	2	1	0	0	349	0	1	0
1289	1	2	1	0	0	349	0	1	0
1290	1	2	1	0	0	349	0	1	0
1291	1	2	1	0	0	349	0	1	0
1292	1	2	1	0	0	349	0	1	0
1293	1	2	1	0	0	349	0	1	0
1301	1	2	1	0	0	349	0	1	0
1302	1	2	1	0	0	349	0	1	0
1303	1	2	1	0	0	349	0	1	0
1304	1	2	1	0	0	349	0	1	0
1305	1	2	1	0	0	349	0	1	0
1306	1	2	1	0	0	349	0	1	0
1307	1	2	1	0	0	349	0	1	0
1309	1	1	2	0	12	1239	0	1	0
1309	1	2	1	0	0	173	0	1	0
1310	1	1	2	0	12	1239	0	1	0
1310	1	2	1	0	0	173	0	1	0
1311	1	2	1	0	0	349	0	1	0
1312	1	2	1	0	0	349	0	1	0
1313	1	2	1	0	0	349	0	1	0
1314	1	2	1	0	0	349	0	1	0
1315	1	2	1	0	0	349	0	1	0
1316	1	2	1	0	0	349	0	1	0
1358	1	1	2	0	14	1620	0	1	0
1359	1	1	2	0	14	1620	0	1	0
1360	1	1	2	0	14	1620	0	1	0
1367	1	2	1	0	0	349	0	1	0
1368	1	2	1	0	0	349	0	1	0
1369	1	2	1	0	0	349	0	1	0
1370	1	2	1	0	0	349	0	1	0
1371	1	2	1	0	0	349	0	1	0
1372	1	2	1	0	0	349	0	1	0
1373	1	2	1	0	0	349	0	1	0
1374	1	2	1	0	0	349	0	1	0
1375	1	2	1	0	0	349	0	1	0
1376	1	2	1	0	0	349	0	1	0
1377	1	2	1	0	0	349	0	1	0
1378	1	2	1	0	0	349	0	1	0
1379	1	2	1	0	0	349	0	1	0
1380	1	2	1	0	0	349	0	1	0
1381	1	2	1	0	0	349	0	1	0
1382	1	2	1	0	0	349	0	1	0
1383	1	2	1	0	0	349	0	1	0
1384	1	2	1	0	0	349	0	1	0
1386	1	2	1	0	0	349	0	1	0
1387	1	2	1	0	0	349	0	1	0
1388	1	2	1	0	0	349	0	1	0
1389	1	2	1	0	0	349	0	1	0
1390	1	2	1	0	0	349	0	1	0
1391	1	2	1	0	0	349	0	1	0
1392	1	2	1	0	0	349	0	1	0
1393	1	2	1	0	0	349	0	1	0
1394	1	2	1	0	0	349	0	1	0
1395	1	2	1	0	0	349	0	1	0
1396	1	2	1	0	0	349	0	1	0
1397	1	2	1	0	0	349	0	1	0
1406	1	2	1	0	0	349	0	1	0
1407	1	2	1	0	2	277	0	1	0
1408	1	1	2	0	4	453	0	1	0
1408	1	2	1	0	2	277	0	1	0
1447	1	2	1	0	0	349	0	1	0
1448	1	2	1	0	0	349	0	1	0
1449	1	2	1	0	0	349	0	1	0
1450	1	2	1	0	0	349	0	1	0
1451	1	2	1	0	0	349	0	1	0
1452	1	2	1	0	0	349	0	1	0
1453	1	2	1	0	0	349	0	1	0
1454	1	2	1	0	0	349	0	1	0
1455	1	2	1	0	0	349	0	1	0
1456	1	2	1	0	0	349	0	1	0
1457	1	1	2	0	4	453	0	1	0
1457	1	2	1	0	0	173	0	1	0
1458	1	1	2	0	4	453	0	1	0
1458	1	2	1	0	0	173	0	1	0
1459	1	1	2	0	4	453	0	1	0
1459	1	2	1	0	0	173	0	1	0
1460	1	1	2	0	4	453	0	1	0
1460	1	2	1	0	0	173	0	1	0
1461	1	1	2	0	4	453	0	1	0
1461	1	2	1	0	0	173	0	1	0
1462	1	1	2	0	4	453	0	1	0
1462	1	2	1	0	0	173	0	1	0
1463	1	2	1	0	0	349	0	1	0
1464	1	2	1	0	0	349	0	1	0
1465	1	2	1	0	0	349	0	1	0
1466	1	2	1	0	0	349	0	1	0
1467	1	2	1	0	0	349	0	1	0
1468	1	2	1	0	0	349	0	1	0
1469	1	2	1	0	0	349	0	1	0
1470	1	2	1	0	0	349	0	1	0
1471	1	2	1	0	0	349	0	1	0
1472	1	2	1	0	0	349	0	1	0
1473	1	2	1	0	0	349	0	1	0
1474	1	2	1	0	0	349	0	1	0
1475	1	2	1	0	0	349	0	1	0
1476	1	2	1	0	0	349	0	1	0
1477	1	2	1	0	0	349	0	1	0
1478	1	2	1	0	0	349	0	1	0
1479	1	2	1	0	0	349	0	1	0
1480	1	2	1	0	0	349	0	1	0
1481	1	1	2	0	4	453	0	1	0
1481	1	2	1	0	0	173	0	1	0
1482	1	2	1	0	0	349	0	1	0
1483	1	2	1	0	0	349	0	1	0
1484	1	2	1	0	0	349	0	1	0
1485	1	2	1	0	0	349	0	1	0
1486	1	1	2	0	4	453	0	1	0
1486	1	2	1	0	0	173	0	1	0
1527	1	2	1	0	4	453	0	1	0
1528	1	2	1	0	4	453	0	1	0
1529	1	2	1	0	4	453	0	1	0
1530	1	2	1	0	4	453	0	1	0
1531	1	2	1	0	4	453	0	1	0
1532	1	2	1	0	4	453	0	1	0
1533	1	2	1	0	4	453	0	1	0
1534	1	2	1	0	4	453	0	1	0
1535	1	2	1	0	4	453	0	1	0
1536	1	2	1	0	4	453	0	1	0
1537	1	2	1	0	4	453	0	1	0
1538	1	2	1	0	4	453	0	1	0
1539	1	2	1	0	4	453	0	1	0
1540	1	2	1	0	4	453	0	1	0
1541	1	2	1	0	4	453	0	1	0
1542	1	2	1	0	4	453	0	1	0
1543	1	2	1	0	4	453	0	1	0
1544	1	2	1	0	4	453	0	1	0
1545	1	2	1	0	4	453	0	1	0
1546	1	2	1	0	4	453	0	1	0
1547	1	2	1	0	4	453	0	1	0
1548	1	2	1	0	4	453	0	1	0
1549	1	2	1	0	4	453	0	1	0
