% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
1020	1	1	2	2	0	22	5861	0	1	1	0
1020	1	1	2	2	1	22	5861	0	1	1	0
1040	1	1	2	2	0	22	5861	0	1	1	0
1040	1	1	2	2	1	22	5861	0	1	1	0
1060	1	1	2	2	0	24	6882	0	1	1	0
1060	1	1	2	2	1	24	6882	0	1	1	0
1070	1	2	1	2	0	22	5861	0	1	1	0
1070	1	2	1	2	1	22	5861	0	1	1	0
1080	1	1	2	2	0	22	5861	0	1	1	0
1080	1	1	2	2	1	22	5861	0	1	1	0
1085	1	1	2	2	0	22	5861	0	1	1	0
1085	1	1	2	2	1	22	5861	0	1	1	0
1090	1	2	1	2	0	20	4904	0	1	1	0
1090	1	2	1	2	1	20	4904	0	1	1	0
1110	1	2	1	2	0	16	3822	0	1	1	0
1110	1	2	1	2	1	16	3822	0	1	1	0
1119	1	1	2	2	0	20	4904	0	1	1	0
1119	1	1	2	2	1	20	4904	0	1	1	0
1130	1	2	1	2	0	16	3822	0	1	1	0
1130	1	2	1	2	1	16	3822	0	1	1	0
1131	1	1	2	2	0	24	6882	0	1	1	0
1131	1	1	2	2	1	24	6882	0	1	1	0
1150	1	2	1	2	0	20	4904	0	1	1	0
1150	1	2	1	2	1	20	4904	0	1	1	0
1165	1	1	2	2	0	18	4107	0	1	1	0
1165	1	1	2	2	1	18	4107	0	1	1	0
1170	1	2	1	2	0	22	5861	0	1	1	0
1170	1	2	1	2	1	22	5861	0	1	1	0
1185	1	1	2	2	0	24	6882	0	1	1	0
1185	1	1	2	2	1	24	6882	0	1	1	0
1190	1	2	1	2	0	24	6882	0	1	1	0
1190	1	2	1	2	1	24	6882	0	1	1	0
1205	1	1	2	2	0	20	4904	0	1	1	0
1205	1	1	2	2	1	20	4904	0	1	1	0
1210	1	2	1	2	0	24	6882	0	1	1	0
1210	1	2	1	2	1	24	6882	0	1	1	0
1211	1	1	2	2	0	20	4904	0	1	1	0
1211	1	1	2	2	1	20	4904	0	1	1	0
1230	1	2	1	2	0	20	4904	0	1	1	0
1230	1	2	1	2	1	20	4904	0	1	1	0
1245	1	1	2	2	0	16	3822	0	1	1	0
1245	1	1	2	2	1	16	3822	0	1	1	0
1250	1	2	1	2	0	20	4904	0	1	1	0
1250	1	2	1	2	1	20	4904	0	1	1	0
1260	1	1	2	2	0	22	5861	0	1	1	0
1260	1	1	2	2	1	22	5861	0	1	1	0
1270	1	2	1	2	0	18	4107	0	1	1	0
1270	1	2	1	2	1	18	4107	0	1	1	0
1290	1	2	1	2	0	18	4107	0	1	1	0
1290	1	2	1	2	1	18	4107	0	1	1	0
1294	1	1	2	2	0	20	4904	0	1	1	0
1294	1	1	2	2	1	20	4904	0	1	1	0
1295	1	1	2	2	0	20	4904	0	1	1	0
1295	1	1	2	2	1	20	4904	0	1	1	0
1309	1	1	2	2	0	14	3182	0	1	1	0
1309	1	1	2	2	1	14	3182	0	1	1	0
1310	1	2	1	2	0	22	5861	0	1	1	0
1310	1	2	1	2	1	22	5861	0	1	1	0
1330	1	2	1	2	0	22	5861	0	1	1	0
1330	1	2	1	2	1	22	5861	0	1	1	0
1343	1	1	2	2	0	18	4107	0	1	1	0
1343	1	1	2	2	1	18	4107	0	1	1	0
1344	1	1	2	2	0	18	4107	0	1	1	0
1344	1	1	2	2	1	18	4107	0	1	1	0
1350	1	1	2	2	0	18	1980	0	1	1	0
1350	1	1	2	2	1	18	1980	0	1	1	0
1350	1	2	1	2	0	20	2385	0	1	1	0
1350	1	2	1	2	1	20	2385	0	1	1	0
1358	1	1	2	2	0	18	4107	0	1	1	0
1358	1	1	2	2	1	18	4107	0	1	1	0
1370	1	2	1	2	0	20	4904	0	1	1	0
1370	1	2	1	2	1	20	4904	0	1	1	0
1390	1	2	1	2	0	20	4904	0	1	1	0
1390	1	2	1	2	1	20	4904	0	1	1	0
1392	1	1	2	2	0	20	4904	0	1	1	0
1392	1	1	2	2	1	20	4904	0	1	1	0
1393	1	1	2	2	0	20	4904	0	1	1	0
1393	1	1	2	2	1	20	4904	0	1	1	0
1394	1	1	2	2	0	20	4904	0	1	1	0
1394	1	1	2	2	1	20	4904	0	1	1	0
1407	1	1	2	2	0	22	2769	0	1	1	0
1407	1	1	2	2	1	22	2769	0	1	1	0
1407	1	2	1	2	0	22	2769	0	1	1	0
1407	1	2	1	2	1	22	2769	0	1	1	0
1411	1	1	2	2	0	22	5861	0	1	1	0
1411	1	1	2	2	1	22	5861	0	1	1	0
1441	1	2	1	2	0	20	4904	0	1	1	0
1441	1	2	1	2	1	20	4904	0	1	1	0
1445	1	1	2	2	0	18	4107	0	1	1	0
1445	1	1	2	2	1	18	4107	0	1	1	0
1446	1	1	2	2	0	18	4107	0	1	1	0
1446	1	1	2	2	1	18	4107	0	1	1	0
1447	1	1	2	2	0	18	4107	0	1	1	0
1447	1	1	2	2	1	18	4107	0	1	1	0
1448	1	1	2	2	0	20	4904	0	1	1	0
1448	1	1	2	2	1	20	4904	0	1	1	0
1451	1	1	2	2	0	20	2385	0	1	1	0
1451	1	1	2	2	1	20	2385	0	1	1	0
