% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1020	1	1	2	0	26	7708	0	1	0
1020	1	1	2	1	26	7708	0	1	0
1035	1	1	2	0	28	9422	0	1	0
1035	1	1	2	1	28	9422	0	1	0
1069	1	1	2	0	28	9422	0	1	0
1069	1	1	2	1	28	9422	0	1	0
1070	1	2	1	0	26	7708	0	1	0
1070	1	2	1	1	26	7708	0	1	0
1084	1	1	2	0	28	9422	0	1	0
1084	1	1	2	1	28	9422	0	1	0
1085	1	2	1	0	28	9422	0	1	0
1085	1	2	1	1	28	9422	0	1	0
1118	1	1	2	0	28	9422	0	1	0
1118	1	1	2	1	28	9422	0	1	0
1119	1	2	1	0	26	7708	0	1	0
1119	1	2	1	1	26	7708	0	1	0
1129	1	2	1	0	26	7708	0	1	0
1129	1	2	1	1	26	7708	0	1	0
1133	1	1	2	0	28	9422	0	1	0
1133	1	1	2	1	28	9422	0	1	0
1134	1	2	1	0	28	9422	0	1	0
1134	1	2	1	1	28	9422	0	1	0
1139	1	2	1	0	28	9422	0	1	0
1139	1	2	1	1	28	9422	0	1	0
1159	1	2	1	0	28	9422	0	1	0
1159	1	2	1	1	28	9422	0	1	0
1164	1	2	1	0	28	9422	0	1	0
1164	1	2	1	1	28	9422	0	1	0
1167	1	1	2	0	28	9422	0	1	0
1167	1	1	2	1	28	9422	0	1	0
1168	1	2	1	0	26	7708	0	1	0
1168	1	2	1	1	26	7708	0	1	0
1169	1	2	1	0	26	7708	0	1	0
1169	1	2	1	1	26	7708	0	1	0
1182	1	1	2	0	26	7708	0	1	0
1182	1	1	2	1	26	7708	0	1	0
1183	1	2	1	0	28	9422	0	1	0
1183	1	2	1	1	28	9422	0	1	0
1193	1	2	1	0	28	9422	0	1	0
1193	1	2	1	1	28	9422	0	1	0
1194	1	2	1	0	28	9422	0	1	0
1194	1	2	1	1	28	9422	0	1	0
1198	1	2	1	0	28	9422	0	1	0
1198	1	2	1	1	28	9422	0	1	0
1216	1	1	2	0	28	9422	0	1	0
1216	1	1	2	1	28	9422	0	1	0
1217	1	2	1	0	28	4395	0	1	0
1217	1	2	1	1	28	4395	0	1	0
1217	1	1	2	0	28	4395	0	1	0
1217	1	1	2	1	28	4395	0	1	0
1218	1	1	2	0	26	3662	0	1	0
1218	1	1	2	1	26	3662	0	1	0
1218	1	2	1	0	28	4395	0	1	0
1218	1	2	1	1	28	4395	0	1	0
1219	1	2	1	0	28	4395	0	1	0
1219	1	2	1	1	28	4395	0	1	0
1219	1	1	2	0	26	3662	0	1	0
1219	1	1	2	1	26	3662	0	1	0
1220	1	1	2	0	28	4395	0	1	0
1220	1	1	2	1	28	4395	0	1	0
1220	1	2	1	0	28	4395	0	1	0
1220	1	2	1	1	28	4395	0	1	0
1221	1	2	1	0	28	4395	0	1	0
1221	1	2	1	1	28	4395	0	1	0
1221	1	1	2	0	28	4395	0	1	0
1221	1	1	2	1	28	4395	0	1	0
1222	1	1	2	0	28	4395	0	1	0
1222	1	1	2	1	28	4395	0	1	0
1222	1	2	1	0	26	3662	0	1	0
1222	1	2	1	1	26	3662	0	1	0
1223	1	2	1	0	26	3662	0	1	0
1223	1	2	1	1	26	3662	0	1	0
1223	1	1	2	0	28	4395	0	1	0
1223	1	1	2	1	28	4395	0	1	0
1224	1	1	2	0	28	4395	0	1	0
1224	1	1	2	1	28	4395	0	1	0
1224	1	2	1	0	26	3662	0	1	0
1224	1	2	1	1	26	3662	0	1	0
1225	1	2	1	0	26	3662	0	1	0
1225	1	2	1	1	26	3662	0	1	0
1225	1	1	2	0	28	4395	0	1	0
1225	1	1	2	1	28	4395	0	1	0
1226	1	2	1	0	26	7708	0	1	0
1226	1	2	1	1	26	7708	0	1	0
1227	1	2	1	0	26	7708	0	1	0
1227	1	2	1	1	26	7708	0	1	0
1230	1	1	2	0	28	4395	0	1	0
1230	1	1	2	1	28	4395	0	1	0
1230	1	2	1	0	28	4395	0	1	0
1230	1	2	1	1	28	4395	0	1	0
1231	1	1	2	0	28	9422	0	1	0
1231	1	1	2	1	28	9422	0	1	0
1232	1	2	1	0	28	9422	0	1	0
1232	1	2	1	1	28	9422	0	1	0
1233	1	2	1	0	28	9422	0	1	0
1233	1	2	1	1	28	9422	0	1	0
1234	1	2	1	0	28	9422	0	1	0
1234	1	2	1	1	28	9422	0	1	0
1235	1	2	1	0	28	9422	0	1	0
1235	1	2	1	1	28	9422	0	1	0
1236	1	2	1	0	28	9422	0	1	0
1236	1	2	1	1	28	9422	0	1	0
1237	1	2	1	0	28	9422	0	1	0
1237	1	2	1	1	28	9422	0	1	0
1238	1	2	1	0	28	9422	0	1	0
1238	1	2	1	1	28	9422	0	1	0
1245	1	2	1	0	28	9422	0	1	0
1245	1	2	1	1	28	9422	0	1	0
1253	1	2	1	0	28	9422	0	1	0
1253	1	2	1	1	28	9422	0	1	0
1265	1	1	2	0	28	9422	0	1	0
1265	1	1	2	1	28	9422	0	1	0
1266	1	2	1	0	28	4395	0	1	0
1266	1	2	1	1	28	4395	0	1	0
1266	1	1	2	0	28	4395	0	1	0
1266	1	1	2	1	28	4395	0	1	0
1267	1	1	2	0	28	4395	0	1	0
1267	1	1	2	1	28	4395	0	1	0
1267	1	2	1	0	28	4395	0	1	0
1267	1	2	1	1	28	4395	0	1	0
1268	1	2	1	0	28	4395	0	1	0
1268	1	2	1	1	28	4395	0	1	0
1268	1	1	2	0	28	4395	0	1	0
1268	1	1	2	1	28	4395	0	1	0
1269	1	1	2	0	28	4395	0	1	0
1269	1	1	2	1	28	4395	0	1	0
1269	1	2	1	0	28	4395	0	1	0
1269	1	2	1	1	28	4395	0	1	0
1270	1	2	1	0	28	4395	0	1	0
1270	1	2	1	1	28	4395	0	1	0
1270	1	1	2	0	28	4395	0	1	0
1270	1	1	2	1	28	4395	0	1	0
1271	1	1	2	0	28	4395	0	1	0
1271	1	1	2	1	28	4395	0	1	0
1271	1	2	1	0	28	4395	0	1	0
1271	1	2	1	1	28	4395	0	1	0
1272	1	2	1	0	28	4395	0	1	0
1272	1	2	1	1	28	4395	0	1	0
1272	1	1	2	0	28	4395	0	1	0
1272	1	1	2	1	28	4395	0	1	0
1273	1	1	2	0	28	4395	0	1	0
1273	1	1	2	1	28	4395	0	1	0
1273	1	2	1	0	28	4395	0	1	0
1273	1	2	1	1	28	4395	0	1	0
1274	1	2	1	0	28	4395	0	1	0
1274	1	2	1	1	28	4395	0	1	0
1274	1	1	2	0	28	4395	0	1	0
1274	1	1	2	1	28	4395	0	1	0
1275	1	2	1	0	28	9422	0	1	0
1275	1	2	1	1	28	9422	0	1	0
1276	1	2	1	0	28	9422	0	1	0
1276	1	2	1	1	28	9422	0	1	0
1277	1	2	1	0	28	9422	0	1	0
1277	1	2	1	1	28	9422	0	1	0
1278	1	2	1	0	28	9422	0	1	0
1278	1	2	1	1	28	9422	0	1	0
1279	1	1	2	0	28	4395	0	1	0
1279	1	1	2	1	28	4395	0	1	0
1279	1	2	1	0	28	4395	0	1	0
1279	1	2	1	1	28	4395	0	1	0
1280	1	2	1	0	28	4395	0	1	0
1280	1	2	1	1	28	4395	0	1	0
1280	1	1	2	0	28	4395	0	1	0
1280	1	1	2	1	28	4395	0	1	0
1281	1	2	1	0	28	9422	0	1	0
1281	1	2	1	1	28	9422	0	1	0
1283	1	2	1	0	28	9422	0	1	0
1283	1	2	1	1	28	9422	0	1	0
1286	1	2	1	0	26	7708	0	1	0
1286	1	2	1	1	26	7708	0	1	0
1287	1	2	1	0	26	7708	0	1	0
1287	1	2	1	1	26	7708	0	1	0
1288	1	2	1	0	28	9422	0	1	0
1288	1	2	1	1	28	9422	0	1	0
1289	1	2	1	0	28	9422	0	1	0
1289	1	2	1	1	28	9422	0	1	0
1299	1	2	1	0	26	7708	0	1	0
1299	1	2	1	1	26	7708	0	1	0
1300	1	2	1	0	26	7708	0	1	0
1300	1	2	1	1	26	7708	0	1	0
1301	1	2	1	0	26	7708	0	1	0
1301	1	2	1	1	26	7708	0	1	0
1305	1	2	1	0	26	7708	0	1	0
1305	1	2	1	1	26	7708	0	1	0
1314	1	1	2	0	26	7708	0	1	0
1314	1	1	2	1	26	7708	0	1	0
1315	1	1	2	0	26	7708	0	1	0
1315	1	1	2	1	26	7708	0	1	0
1316	1	2	1	0	28	4395	0	1	0
1316	1	2	1	1	28	4395	0	1	0
1316	1	1	2	0	26	3662	0	1	0
1316	1	1	2	1	26	3662	0	1	0
1317	1	2	1	0	28	9422	0	1	0
1317	1	2	1	1	28	9422	0	1	0
1318	1	2	1	0	28	9422	0	1	0
1318	1	2	1	1	28	9422	0	1	0
1319	1	2	1	0	28	9422	0	1	0
1319	1	2	1	1	28	9422	0	1	0
1320	1	2	1	0	28	9422	0	1	0
1320	1	2	1	1	28	9422	0	1	0
1321	1	2	1	0	28	9422	0	1	0
1321	1	2	1	1	28	9422	0	1	0
1322	1	2	1	0	28	9422	0	1	0
1322	1	2	1	1	28	9422	0	1	0
1323	1	2	1	0	28	9422	0	1	0
1323	1	2	1	1	28	9422	0	1	0
1324	1	2	1	0	28	9422	0	1	0
1324	1	2	1	1	28	9422	0	1	0
1325	1	2	1	0	28	9422	0	1	0
1325	1	2	1	1	28	9422	0	1	0
1326	1	2	1	0	28	9422	0	1	0
1326	1	2	1	1	28	9422	0	1	0
1327	1	2	1	0	28	9422	0	1	0
1327	1	2	1	1	28	9422	0	1	0
1328	1	2	1	0	28	9422	0	1	0
1328	1	2	1	1	28	9422	0	1	0
1329	1	1	2	0	28	4395	0	1	0
1329	1	1	2	1	28	4395	0	1	0
1329	1	2	1	0	28	4395	0	1	0
1329	1	2	1	1	28	4395	0	1	0
1330	1	2	1	0	28	9422	0	1	0
1330	1	2	1	1	28	9422	0	1	0
1335	1	2	1	0	28	9422	0	1	0
1335	1	2	1	1	28	9422	0	1	0
1336	1	2	1	0	28	9422	0	1	0
1336	1	2	1	1	28	9422	0	1	0
1337	1	2	1	0	28	9422	0	1	0
1337	1	2	1	1	28	9422	0	1	0
1338	1	2	1	0	28	9422	0	1	0
1338	1	2	1	1	28	9422	0	1	0
1339	1	2	1	0	28	9422	0	1	0
1339	1	2	1	1	28	9422	0	1	0
1340	1	2	1	0	26	7708	0	1	0
1340	1	2	1	1	26	7708	0	1	0
1341	1	2	1	0	26	7708	0	1	0
1341	1	2	1	1	26	7708	0	1	0
1342	1	2	1	0	26	7708	0	1	0
1342	1	2	1	1	26	7708	0	1	0
1346	1	2	1	0	26	7708	0	1	0
1346	1	2	1	1	26	7708	0	1	0
1347	1	2	1	0	26	7708	0	1	0
1347	1	2	1	1	26	7708	0	1	0
1348	1	2	1	0	26	7708	0	1	0
1348	1	2	1	1	26	7708	0	1	0
1349	1	2	1	0	26	7708	0	1	0
1349	1	2	1	1	26	7708	0	1	0
1350	1	2	1	0	28	9422	0	1	0
1350	1	2	1	1	28	9422	0	1	0
1352	1	2	1	0	28	9422	0	1	0
1352	1	2	1	1	28	9422	0	1	0
1353	1	2	1	0	28	9422	0	1	0
1353	1	2	1	1	28	9422	0	1	0
1354	1	2	1	0	28	9422	0	1	0
1354	1	2	1	1	28	9422	0	1	0
1356	1	2	1	0	28	9422	0	1	0
1356	1	2	1	1	28	9422	0	1	0
1357	1	2	1	0	28	9422	0	1	0
1357	1	2	1	1	28	9422	0	1	0
1358	1	2	1	0	28	9422	0	1	0
1358	1	2	1	1	28	9422	0	1	0
1359	1	2	1	0	28	9422	0	1	0
1359	1	2	1	1	28	9422	0	1	0
1360	1	2	1	0	28	9422	0	1	0
1360	1	2	1	1	28	9422	0	1	0
1363	1	1	2	0	26	7708	0	1	0
1363	1	1	2	1	26	7708	0	1	0
1364	1	2	1	0	28	4395	0	1	0
1364	1	2	1	1	28	4395	0	1	0
1364	1	1	2	0	26	3662	0	1	0
1364	1	1	2	1	26	3662	0	1	0
1365	1	1	2	0	26	3662	0	1	0
1365	1	1	2	1	26	3662	0	1	0
1365	1	2	1	0	28	4395	0	1	0
1365	1	2	1	1	28	4395	0	1	0
1366	1	2	1	0	26	3662	0	1	0
1366	1	2	1	1	26	3662	0	1	0
1366	1	1	2	0	28	4395	0	1	0
1366	1	1	2	1	28	4395	0	1	0
1367	1	1	2	0	28	9422	0	1	0
1367	1	1	2	1	28	9422	0	1	0
1368	1	2	1	0	26	7708	0	1	0
1368	1	2	1	1	26	7708	0	1	0
1369	1	2	1	0	26	7708	0	1	0
1369	1	2	1	1	26	7708	0	1	0
1370	1	2	1	0	26	7708	0	1	0
1370	1	2	1	1	26	7708	0	1	0
1375	1	2	1	0	26	7708	0	1	0
1375	1	2	1	1	26	7708	0	1	0
1378	1	1	2	0	26	7708	0	1	0
1378	1	1	2	1	26	7708	0	1	0
1395	1	2	1	0	26	7708	0	1	0
1395	1	2	1	1	26	7708	0	1	0
1399	1	2	1	0	26	7708	0	1	0
1399	1	2	1	1	26	7708	0	1	0
1404	1	2	1	0	28	9422	0	1	0
1404	1	2	1	1	28	9422	0	1	0
1405	1	2	1	0	28	9422	0	1	0
1405	1	2	1	1	28	9422	0	1	0
1406	1	2	1	0	28	9422	0	1	0
1406	1	2	1	1	28	9422	0	1	0
1407	1	2	1	0	28	9422	0	1	0
1407	1	2	1	1	28	9422	0	1	0
1408	1	2	1	0	28	9422	0	1	0
1408	1	2	1	1	28	9422	0	1	0
1409	1	2	1	0	28	9422	0	1	0
1409	1	2	1	1	28	9422	0	1	0
1410	1	2	1	0	28	9422	0	1	0
1410	1	2	1	1	28	9422	0	1	0
1411	1	2	1	0	28	9422	0	1	0
1411	1	2	1	1	28	9422	0	1	0
1412	1	1	2	0	28	4395	0	1	0
