% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.026	1	1	103	7	2	2	573	0
1.075	1	1	108	6	2	18	4587	0
1.076	1	2	108	7	1	0	349	0
1.077	1	2	108	8	1	0	349	0
1.124	1	1	113	5	2	22	5861	0
1.125	1	2	113	6	1	14	3182	0
1.126	1	2	113	7	1	14	3182	0
1.135	1	2	114	6	1	14	3182	0
1.155	1	2	116	6	1	14	3182	0
1.16	1	2	117	1	1	14	3182	0
1.173	1	1	118	4	2	14	3182	0
1.174	1	2	118	5	1	22	5861	0
1.175	1	2	118	6	1	22	5861	0
1.176	1	2	118	7	1	22	5861	0
1.185	1	2	119	6	1	22	5861	0
1.199	1	2	120	10	1	22	5861	0
1.204	1	2	121	5	1	2	573	0
1.214	1	2	122	5	1	2	573	0
1.222	1	1	123	3	2	16	3822	0
1.223	1	2	123	4	1	2	277	0
1.223	1	1	123	4	2	16	1908	0
1.224	1	2	123	5	1	2	573	0
1.225	1	2	123	6	1	2	573	0
1.226	1	2	123	7	1	2	573	0
1.227	1	2	123	8	1	2	573	0
1.228	1	2	123	9	1	2	573	0
1.229	1	2	123	10	1	2	573	0
1.23	1	2	124	1	1	2	573	0
1.231	1	2	124	2	1	2	573	0
1.232	1	2	124	3	1	2	573	0
1.233	1	2	124	4	1	2	573	0
1.234	1	2	124	5	1	2	573	0
1.235	1	2	124	6	1	2	573	0
1.236	1	2	124	7	1	2	573	0
1.237	1	2	124	8	1	2	573	0
1.238	1	2	124	9	1	2	573	0
1.239	1	2	124	10	1	2	573	0
1.243	1	2	125	4	1	6	1287	0
1.244	1	2	125	5	1	6	1287	0
1.245	1	2	125	6	1	6	1287	0
1.246	1	2	125	7	1	6	1287	0
1.247	1	2	125	8	1	6	1287	0
1.258	1	2	126	9	1	6	1287	0
1.265	1	2	127	6	1	6	1287	0
1.271	1	1	128	2	2	12	2481	0
1.272	1	1	128	3	2	12	2481	0
1.273	1	2	128	4	1	6	1287	0
1.274	1	2	128	5	1	6	1287	0
1.275	1	2	128	6	1	6	1287	0
1.276	1	2	128	7	1	6	1287	0
1.277	1	2	128	8	1	6	1287	0
1.278	1	2	128	9	1	6	1287	0
1.279	1	2	128	10	1	6	1287	0
1.28	1	2	129	1	1	6	1287	0
1.281	1	2	129	2	1	20	5477	0
1.285	1	2	129	6	1	20	5477	0
1.286	1	2	129	7	1	20	5477	0
1.287	1	2	129	8	1	20	5477	0
1.295	1	2	130	6	1	20	5477	0
1.296	1	2	130	7	1	20	5477	0
1.305	1	2	131	6	1	20	5477	0
1.307	1	2	131	8	1	20	5477	0
1.308	1	2	131	9	1	20	5477	0
1.32	1	1	133	1	2	26	7708	0
1.321	1	1	133	2	2	26	7708	0
1.361	1	2	137	2	1	20	5477	0
1.362	1	2	137	3	1	20	5477	0
1.363	1	2	137	4	1	20	5477	0
1.366	1	2	137	7	1	20	5477	0
1.367	1	2	137	8	1	20	5477	0
1.368	1	2	137	9	1	20	5477	0
1.369	1	1	137	10	2	4	903	0
1.37	1	1	138	1	2	4	903	0
1.371	1	1	138	2	2	4	903	0
1.372	1	1	138	3	2	4	903	0
1.381	1	2	139	2	1	20	5477	0
1.382	1	2	139	3	1	20	5477	0
1.386	1	2	139	7	1	20	5477	0
1.387	1	2	139	8	1	20	5477	0
1.391	1	2	140	2	1	20	5477	0
1.392	1	2	140	3	1	20	5477	0
1.405	1	2	141	6	1	12	2481	0
1.406	1	2	141	7	1	12	2481	0
1.41	1	2	142	1	1	12	2481	0
1.411	1	2	142	2	1	12	2481	0
1.412	1	2	142	3	1	12	2481	0
1.413	1	2	142	4	1	12	2481	0
1.414	1	2	142	5	1	12	2481	0
1.415	1	2	142	6	1	12	2481	0
1.416	1	2	142	7	1	12	2481	0
1.417	1	2	142	8	1	12	2481	0
1.418	1	1	142	9	2	24	3422	0
1.418	1	2	142	9	1	20	2673	0
1.419	1	1	142	10	2	24	3422	0
1.419	1	2	142	10	1	20	2673	0
1.42	1	1	143	1	2	24	3422	0
1.42	1	2	143	1	1	20	2673	0
1.421	1	1	143	2	2	24	3422	0
1.421	1	2	143	2	1	20	2673	0
1.422	1	1	143	3	2	24	3422	0
1.422	1	2	143	3	1	20	2673	0
1.423	1	2	143	4	1	12	2481	0
1.437	1	2	144	8	1	12	2481	0
1.455	1	2	146	6	1	20	5477	0
1.456	1	2	146	7	1	20	5477	0
1.457	1	2	146	8	1	20	5477	0
1.458	1	2	146	9	1	20	5477	0
1.459	1	2	146	10	1	20	5477	0
1.46	1	2	147	1	1	20	5477	0
1.461	1	2	147	2	1	20	5477	0
1.462	1	2	147	3	1	20	5477	0
1.464	1	2	147	5	1	20	5477	0
1.466	1	2	147	7	1	20	5477	0
1.467	1	1	147	8	2	2	573	0
1.468	1	1	147	9	2	2	573	0
1.469	1	1	147	10	2	2	573	0
1.47	1	1	148	1	2	2	573	0
1.471	1	1	148	2	2	2	573	0
1.472	1	1	148	3	2	2	573	0
1.473	1	1	148	4	2	2	573	0
1.474	1	1	148	5	2	2	573	0
1.475	1	2	148	6	1	28	4587	0
1.475	1	1	148	6	2	2	277	0
1.505	1	2	151	6	1	28	4587	0
1.505	1	1	151	6	2	2	277	0
1.506	1	2	151	7	1	28	4587	0
1.506	1	1	151	7	2	2	277	0
1.507	1	2	151	8	1	28	4587	0
1.507	1	1	151	8	2	2	277	0
1.508	1	2	151	9	1	14	3182	0
1.509	1	2	151	10	1	14	3182	0
1.51	1	2	152	1	1	14	3182	0
1.517	1	2	152	8	1	14	1620	0
1.522	1	1	153	3	2	18	4587	0
1.523	1	1	153	4	2	18	4587	0
1.524	1	2	153	5	1	24	6882	0
1.534	1	2	154	5	1	24	6882	0
1.535	1	2	154	6	1	24	6882	0
1.544	1	2	155	5	1	24	6882	0
1.554	1	1	156	5	2	18	2292	0
1.554	1	2	156	5	1	24	3422	0
1.555	1	1	156	6	2	18	2292	0
1.555	1	2	156	6	1	24	3422	0
1.556	1	2	156	7	1	24	6882	0
1.557	1	2	156	8	1	24	6882	0
1.558	1	2	156	9	1	24	6882	0
1.559	1	2	156	10	1	24	6882	0
1.56	1	2	157	1	1	24	6882	0
1.565	1	2	157	6	1	4	903	0
1.566	1	2	157	7	1	4	903	0
1.567	1	2	157	8	1	4	903	0
1.571	1	1	158	2	2	18	4587	0
1.572	1	1	158	3	2	18	4587	0
1.573	1	1	158	4	2	18	4587	0
1.574	1	2	158	5	1	4	453	0
1.574	1	1	158	5	2	28	4587	0
1.575	1	1	158	6	2	18	4587	0
1.576	1	1	158	7	2	18	4587	0
1.577	1	1	158	8	2	18	4587	0
1.578	1	1	158	9	2	18	4587	0
1.579	1	1	158	10	2	18	4587	0
1.584	1	2	159	5	1	4	903	0
1.594	1	2	160	5	1	4	903	0
1.599	1	1	160	10	2	18	4587	0
1.603	1	2	161	4	1	24	3422	0
1.603	1	1	161	4	2	22	2865	0
1.604	1	2	161	5	1	22	5861	0
1.605	1	2	161	6	1	22	5861	0
1.606	1	2	161	7	1	22	5861	0
1.607	1	2	161	8	1	22	5861	0
1.608	1	2	161	9	1	22	5861	0
1.609	1	2	161	10	1	22	5861	0
1.61	1	2	162	1	1	22	5861	0
1.616	1	2	162	7	1	22	5861	0
1.62	1	1	163	1	2	6	1287	0
1.621	1	1	163	2	2	6	1287	0
1.622	1	1	163	3	2	6	1287	0
1.623	1	1	163	4	2	6	1287	0
1.624	1	1	163	5	2	6	1287	0
1.625	1	1	163	6	2	6	1287	0
1.626	1	2	163	7	1	24	3422	0
1.626	1	1	163	7	2	22	2865	0
1.627	1	1	163	8	2	6	1287	0
1.628	1	1	163	9	2	6	1287	0
1.629	1	1	163	10	2	6	1287	0
1.63	1	1	164	1	2	6	1287	0
1.631	1	1	164	2	2	6	1287	0
1.632	1	1	164	3	2	6	1287	0
1.633	1	1	164	4	2	6	1287	0
1.634	1	1	164	5	2	6	1287	0
1.635	1	1	164	6	2	6	1287	0
1.636	1	1	164	7	2	6	1287	0
1.637	1	2	164	8	1	24	3422	0
1.637	1	1	164	8	2	22	2865	0
1.638	1	1	164	9	2	6	1287	0
1.641	1	2	165	2	1	18	4587	0
1.648	1	1	165	9	2	28	9422	0
1.649	1	1	165	10	2	28	9422	0
1.652	1	2	166	3	1	18	4587	0
1.653	1	2	166	4	1	18	4587	0
1.654	1	2	166	5	1	18	4587	0
1.655	1	2	166	6	1	18	4587	0
1.658	1	2	166	9	1	18	4587	0
1.659	1	2	166	10	1	18	4587	0
1.662	1	2	167	3	1	18	4587	0
1.663	1	2	167	4	1	18	4587	0
1.669	1	1	167	10	2	28	9422	0
1.67	1	1	168	1	2	28	9422	0
1.671	1	1	168	2	2	28	9422	0
1.672	1	2	168	3	1	26	3822	0
1.672	1	1	168	3	2	28	4587	0
1.673	1	1	168	4	2	28	9422	0
1.674	1	1	168	5	2	28	9422	0
1.675	1	1	168	6	2	28	9422	0
1.676	1	1	168	7	2	28	9422	0
1.677	1	1	168	8	2	28	9422	0
1.69	1	2	170	1	1	12	2481	0
1.691	1	2	170	2	1	12	2481	0
1.697	1	1	170	8	2	12	2481	0
1.698	1	1	170	9	2	12	2481	0
1.7	1	2	171	1	1	12	2481	0
1.701	1	2	171	2	1	12	2481	0
1.702	1	2	171	3	1	12	2481	0
1.703	1	2	171	4	1	12	2481	0
1.704	1	2	171	5	1	12	2481	0
1.705	1	2	171	6	1	12	2481	0
1.706	1	2	171	7	1	12	2481	0
1.707	1	2	171	8	1	12	2481	0
1.708	1	2	171	9	1	12	2481	0
1.714	1	2	172	5	1	12	2481	0
1.715	1	2	172	6	1	12	2481	0
1.716	1	2	172	7	1	12	2481	0
1.717	1	2	172	8	1	12	2481	0
1.718	1	1	172	9	2	12	2481	0
1.719	1	1	172	10	2	12	2481	0
1.72	1	1	173	1	2	12	2481	0
1.721	1	2	173	2	1	18	2292	0
1.721	1	1	173	2	2	12	1239	0
1.722	1	1	173	3	2	22	5861	0
1.723	1	1	173	4	2	22	5861	0
1.724	1	1	173	5	2	22	5861	0
1.725	1	1	173	6	2	22	5861	0
1.726	1	1	173	7	2	22	5861	0
1.731	1	2	174	2	1	18	4587	0
1.735	1	2	174	6	1	18	4587	0
1.746	1	1	175	7	2	28	4587	0
1.746	1	2	175	7	1	18	2292	0
1.747	1	1	175	8	2	22	5861	0
1.75	1	2	176	1	1	18	4587	0
1.751	1	2	176	2	1	18	4587	0
1.752	1	2	176	3	1	18	4587	0
1.753	1	2	176	4	1	18	4587	0
1.754	1	2	176	5	1	18	4587	0
1.766	1	2	177	7	1	28	9422	0
1.767	1	1	177	8	2	28	9422	0
1.768	1	1	177	9	2	28	9422	0
1.769	1	1	177	10	2	28	9422	0
1.77	1	1	178	1	2	28	9422	0
1.771	1	1	178	2	2	28	9422	0
1.772	1	1	178	3	2	28	9422	0
1.773	1	1	178	4	2	28	9422	0
