% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	2	1	54.6912	0
0.042	1	1	2	60.3828	0
0.081	1	2	1	31.8083	0
0.082	1	1	2	65.3939	0
0.121	1	2	1	97.0404	0
0.122	1	1	2	79.62	0
0.161	1	2	1	51.395	0
0.162	1	1	2	65.8475	0
0.201	1	2	1	101.528	0
0.202	1	1	2	44.4572	0
0.241	1	2	1	127.412	0
0.242	1	1	2	80.7834	0
0.281	1	2	1	100.127	0
0.282	1	1	2	136.531	0
0.321	1	2	1	71.8265	0
0.322	1	1	2	54.8455	0
0.361	1	2	1	101.664	0
0.362	1	1	2	105.13	0
0.401	1	2	1	57.7267	0
0.402	1	1	2	166.445	0
0.441	1	2	1	39.897	0
0.442	1	1	2	71.3926	0
0.481	1	2	1	85.3786	0
0.482	1	1	2	33.3898	0
0.521	1	2	1	153.767	0
0.522	1	1	2	53.7581	0
0.561	1	2	1	63.2132	0
0.562	1	1	2	55.0561	0
0.601	1	2	1	31.0565	0
0.602	1	1	2	73.9686	0
0.641	1	2	1	91.8119	0
0.642	1	1	2	140.339	0
0.681	1	2	1	100.071	0
0.682	1	1	2	39.3737	0
0.721	1	2	1	141.208	0
0.722	1	1	2	62.143	0
0.761	1	2	1	36.9861	0
0.762	1	1	2	73.9565	0
0.801	1	2	1	78.8275	0
0.802	1	1	2	73.4002	0
0.841	1	2	1	92.7546	0
0.842	1	1	2	40.2094	0
0.881	1	2	1	208.671	0
0.882	1	1	2	50.1017	0
0.921	1	2	1	95.8248	0
0.922	1	1	2	46.7623	0
0.961	1	2	1	48.4948	0
0.962	1	1	2	44.2461	0
1.001	1	2	1	51.9655	0
1.002	1	1	2	58.5978	0
1.041	1	2	1	34.9564	0
1.042	1	1	2	52.181	0
1.081	1	2	1	145.725	0
1.082	1	1	2	68.2621	0
1.121	1	2	1	61.3027	0
1.122	1	1	2	57.5342	0
1.161	1	2	1	52.8236	0
1.162	1	1	2	94.4903	0
1.201	1	2	1	53.3211	0
1.202	1	1	2	161.652	0
1.241	1	2	1	67.6318	0
1.242	1	1	2	53.5906	0
1.281	1	2	1	51.0194	0
1.282	1	1	2	116.277	0
1.321	1	2	1	135.642	0
1.322	1	1	2	92.9209	0
1.361	1	2	1	206.857	0
1.362	1	1	2	125.731	0
1.401	1	2	1	69.4448	0
1.402	1	1	2	46.46	0
1.441	1	2	1	81.5882	0
1.442	1	1	2	29.7946	0
1.481	1	2	1	112.605	0
1.482	1	1	2	52.7837	0
1.521	1	2	1	42.0673	0
1.522	1	1	2	60.1956	0
1.561	1	2	1	47.8205	0
1.562	1	1	2	77.5714	0
1.601	1	2	1	56.5406	0
1.602	1	1	2	46.0385	0
1.641	1	2	1	87.2259	0
1.642	1	1	2	90.063	0
1.681	1	2	1	78.38	0
1.682	1	1	2	143.116	0
1.721	1	2	1	60.5533	0
1.722	1	1	2	67.8461	0
1.761	1	2	1	66.7299	0
1.762	1	1	2	108.204	0
1.801	1	2	1	58.4343	0
1.802	1	1	2	133.902	0
1.841	1	2	1	81.5463	0
1.842	1	1	2	56.1502	0
1.881	1	2	1	51.4722	0
1.882	1	1	2	32.37	0
1.921	1	2	1	67.3007	0
1.922	1	1	2	97.9528	0
1.961	1	2	1	114.352	0
1.962	1	1	2	80.0456	0
2.001	1	2	1	207.594	0
2.002	1	1	2	114.974	0
2.041	1	2	1	122.594	0
2.042	1	1	2	57.7867	0
2.081	1	2	1	96.2687	0
2.082	1	1	2	30.2655	0
2.121	1	2	1	85.7461	0
2.122	1	1	2	64.1035	0
2.161	1	2	1	66.4794	0
2.162	1	1	2	91.4945	0
2.201	1	2	1	149.94	0
2.202	1	1	2	60.6184	0
